Com,4
Node,573
SN,2428-0573
Firmware,8.00
Num Channels,4
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:261


Calibration Coefficients
Channel,1,Slope,0.200373,Offset,-478.49,Units,µStrain
Channel,2,Slope,0.198525,Offset,-465.343,Units,µStrain
Channel,3,Slope,0.199383,Offset,-413.72,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 07:56:50.101750000,0,-70.3302002,173.7089844,270.7618713,25.32446289,-28,-73
13/05/2014 07:57:00.101750000,1,-61.91453552,149.2904053,284.5192871,25.32446289,-27,-73
13/05/2014 07:57:10.101750000,2,-58.70856857,151.27565,284.5192871,25.32446289,-28,-71
13/05/2014 07:57:20.101750000,3,-58.10744858,152.665329,283.9211426,25.32446289,-26,-69
13/05/2014 07:57:30.101750000,4,-52.49700546,141.1508789,132.3900452,25.32446289,-26,-73
13/05/2014 07:57:40.101750000,5,-37.66940308,137.1803741,30.10656929,25.32446289,-28,-73
13/05/2014 07:57:50.101750000,6,-28.45224571,39.7046051,77.36034393,25.32446289,-30,-75
13/05/2014 07:58:00.101750000,7,-74.13729095,5.955355167,58.81772232,25.32446289,-22,-65
13/05/2014 07:58:10.101750000,8,-74.73841095,-19.05879402,28.71088791,25.32446289,-22,-69
13/05/2014 07:58:20.101750000,9,-75.53990173,-4.96352005,47.85165787,25.32446289,-26,-65
13/05/2014 07:58:30.101750000,10,-75.53990173,-3.970894814,50.24425125,25.32446289,-26,-66
13/05/2014 07:58:40.101750000,11,-70.53057098,1.786329985,34.692379,25.20727539,-22,-65
13/05/2014 07:58:50.101750000,12,-109.2025604,110.5780258,333.1687317,25.20727539,-22,-66
13/05/2014 07:59:00.101750000,13,-63.9182663,-30.37471962,-22.72992706,25.20727539,-22,-73
13/05/2014 07:59:10.101750000,14,-76.94251251,-2.779744864,48.44980621,25.20727539,-29,-67
13/05/2014 07:59:20.101750000,15,-74.33766174,-7.742869854,35.88867569,25.20727539,-24,-79
13/05/2014 07:59:30.101750000,16,-98.9835434,-32.55849457,33.09731293,25.20727539,-35,-73
13/05/2014 07:59:40.101750000,17,-212.9957733,-21.63961983,47.65227509,25.20727539,-26,-68
13/05/2014 07:59:50.101750000,18,-216.4021149,-12.50747013,50.04486847,25.20727539,-24,-79
13/05/2014 08:00:00.101750000,19,-219.006958,-17.27206993,48.05104065,25.20727539,-32,-77
13/05/2014 08:00:10.101750000,20,-220.209198,-15.68386936,48.649189,25.20727539,-34,-81
13/05/2014 08:00:20.101750000,21,-220.6099396,-15.68386936,48.84857178,25.20727539,-39,-81
13/05/2014 08:00:30.101750000,22,-221.6118164,-15.48534489,48.44980621,25.20727539,-38,-77
13/05/2014 08:00:40.101750000,23,-221.411438,-15.88239479,48.649189,25.20727539,-35,-79
13/05/2014 08:00:50.101750000,24,-222.8140564,-15.28681946,49.04795456,25.20727539,-38,-69
13/05/2014 08:01:00.101750000,25,-222.613678,-15.48534489,48.44980621,25.20727539,-26,-69
13/05/2014 08:01:10.101750000,26,-221.8121796,-15.48534489,48.44980621,25.20727539,-26,-80
13/05/2014 08:01:20.101750000,27,-269.7013245,-17.86764526,47.85165787,25.20727539,-36,-73
13/05/2014 08:01:30.101750000,28,-238.4431458,-14.88976955,49.04795456,25.20727539,-27,-89
